"Tipo de Información","Tipo de Tarifa","Tipo de Dato","Rango de Consumo","Nivel","Propiedad Epm","Compartido","Propiedad del Cliente","Punta","Fuera de Punta","Año","Mes"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$525,50","$506,70","$487,89","$0,00","$0,00","2019","Agosto"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$496,96","$479,09","$461,22","$0,00","$0,00","2018","Septiembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$596,35","$574,91","$553,46","$0,00","$0,00","2018","Septiembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$616,02","$593,63","$571,25","$0,00","$0,00","2019","Julio"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$513,35","$494,69","$476,04","$0,00","$0,00","2019","Julio"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$600,38","$578,68","$556,98","$0,00","$0,00","2018","Octubre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$500,31","$482,23","$464,15","$0,00","$0,00","2018","Octubre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$611,76","$589,91","$568,05","$0,00","$0,00","2018","Noviembre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$509,80","$491,59","$473,38","$0,00","$0,00","2018","Noviembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$647,05","$624,14","$601,24","$0,00","$0,00","2019","Noviembre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$539,21","$520,12","$501,03","$0,00","$0,00","2019","Noviembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$598,03","$576,15","$554,28","$0,00","$0,00","2018","Diciembre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$498,36","$480,13","$461,90","$0,00","$0,00","2018","Diciembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$602,08","$580,23","$558,38","$0,00","$0,00","2019","Enero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$501,74","$483,53","$465,32","$0,00","$0,00","2019","Enero"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$624,87","$602,14","$579,41","$0,00","$0,00","2019","Septiembre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$520,72","$501,78","$482,84","$0,00","$0,00","2019","Septiembre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$614,92","$593,02","$571,11","$0,00","$0,00","2019","Febrero"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$512,43","$494,18","$475,93","$0,00","$0,00","2019","Febrero"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$641,83","$619,89","$597,95","$0,00","$0,00","2019","Marzo"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$534,86","$516,58","$498,29","$0,00","$0,00","2019","Marzo"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$634,29","$611,44","$588,60","$0,00","$0,00","2019","Octubre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$528,57","$509,53","$490,50","$0,00","$0,00","2019","Octubre"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$627,95","$605,92","$583,90","$0,00","$0,00","2019","Abril"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$523,29","$504,94","$486,59","$0,00","$0,00","2019","Abril"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$567,70","$546,80","$525,90","$0,00","$0,00","2017","Agosto"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$463,38","$445,96","$428,55","$0,00","$0,00","2017","Abril"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$547,05","$526,17","$505,28","$0,00","$0,00","2017","Febrero"
"Monomia","Áreas Comunes","Con contribución","N/A","I","$563,30","$542,39","$521,48","$0,00","$0,00","2017","Octubre"
"Monomia","Áreas Comunes","Sin contribución","N/A","I","$470,60","$452,96","$435,32","$0,00","$0,00","2017","Diciembre"
