"Municipio","Sector","Estrato","Servicio","Cargo Fijo","Cargo por Consumo Menor","Cargo por Consumo Mayor","Cargo por Consumo","Suspensión","Reinstalación","Reconexión","Corte","Año","Mes"
"Bello","Residencial","4","Alcantarillado","$4.053,17","$2.595,14","$2.595,14","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Residencial","5","Acueducto","$12.685,30","$5.822,10","$5.822,10","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Residencial","5","Alcantarillado","$7.295,71","$4.671,25","$4.671,25","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Residencial","6","Acueducto","$12.685,30","$5.822,10","$5.822,10","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Bello","Residencial","6","Alcantarillado","$7.295,71","$4.671,25","$4.671,25","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Comercial","Comercial","Acueducto","$10.571,09","$0,00","$0,00","$3.778,58","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Comercial","Comercial","Alcantarillado","$6.079,76","$0,00","$0,00","$2.377,92","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Industrial","Industrial","Acueducto","$9.161,61","$0,00","$0,00","$3.274,77","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Industrial","Industrial","Alcantarillado","$5.269,12","$0,00","$0,00","$2.060,86","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Oficial y Exenta","Oficial y Exenta","Acueducto","$7.047,39","$0,00","$0,00","$2.519,05","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Oficial y Exenta","Oficial y Exenta","Alcantarillado","$4.053,17","$0,00","$0,00","$1.585,28","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","1","Acueducto","$3.805,59","$1.360,29","$2.519,05","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","1","Alcantarillado","$3.323,60","$1.299,93","$1.585,28","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","2","Acueducto","$5.990,28","$2.141,19","$2.519,05","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","2","Alcantarillado","$3.485,73","$1.363,34","$1.585,28","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","3","Acueducto","$7.047,39","$2.519,05","$2.519,05","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","3","Alcantarillado","$3.891,04","$1.506,02","$1.585,28","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","4","Acueducto","$7.047,39","$2.519,05","$2.519,05","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","4","Alcantarillado","$4.053,17","$1.585,28","$1.585,28","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","5","Acueducto","$10.571,09","$3.778,58","$3.778,58","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","5","Alcantarillado","$6.079,76","$2.377,92","$2.377,92","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
"Caldas","Residencial","6","Acueducto","$11.275,82","$4.030,48","$4.030,48","$0,00","$12.719,36","$10.902,31","$19.987,57","$21.804,62","2021","Octubre"
